,item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
2,1Lt Coconut Oil Ver,Pantry Staples,Oil,0.0,14.0,14.0,10.0,140.0,126.0
10,Al Nakhil Tahina 454G,Pantry Staples,Grains And Pulses,4.0,4.990000000000003,0.9900000000000001,45.0,224.55000000000013,44.550000000000004
16,Amami Papadam,Pantry Staples,Grains And Pulses,1.1499999999999992,1.9900000000000007,0.84,34.0,67.66000000000001,26.88
18,Ambarella Chutney Dera,Pantry Staples,Pickle,3.399999999999999,4.990000000000001,1.59,13.0,64.87000000000002,20.67
20,Amberella Curry,Pantry Staples,Sauce,3.9500000000000015,5.489999999999998,1.5399999999999994,29.0,159.21000000000004,38.499999999999986
43,Atta 1Kg Pattu,Pantry Staples,Flour,1.75,2.990000000000001,1.2399999999999998,16.0,47.84000000000002,19.839999999999996
44,Atta 5Kg Dia,Pantry Staples,Flour,5.950000000000001,7.99,2.0399999999999996,10.0,79.9,20.399999999999995
45,Atta Chakki Fresh,Pantry Staples,Flour,1.85,2.5,0.6500000000000001,11.0,27.5,6.500000000000001
46,Attiki Honey 500G,Pantry Staples,Condiments,12.0,15.0,3.0,24.0,360.0,66.0
59,Baking Powder 50G,Pantry Staples,Baking,1.2,1.99,0.79,2.0,3.98,1.58
60,Balsamic Vinegar 500Ml,Pantry Staples,Vinegar,3.0,3.990000000000001,0.9900000000000001,7.0,27.930000000000007,6.930000000000001
69,Basil Seed 100G(Casa Casa),Pantry Staples,Spices,3.0,3.9900000000000015,0.9900000000000001,16.0,63.840000000000025,15.840000000000002
76,Basmathi 1Kg Monsoon,Pantry Staples,Rice,1.75,2.990000000000001,1.2399999999999995,19.0,56.810000000000024,23.55999999999999
77,Basmathi Rice Golden Sella 1Kg,Pantry Staples,Rice,2.899999999999999,3.9900000000000015,1.09,18.0,71.82000000000001,15.26
91,Biriyani Mix 50G,Pantry Staples,Spices,0.0,2.5,2.5,5.0,12.5,12.5
92,Biryani Masala 200G,Pantry Staples,Spices,0.0,3.0,3.0,11.0,33.0,30.0
98,Black Pepper 150G Dera,Pantry Staples,Spices,4.299999999999999,5.5,1.1999999999999997,14.0,77.0,16.799999999999997
99,Black Pepper 200G Kandyan,Pantry Staples,Spices,3.5,4.99,1.49,3.0,14.97,4.47
100,Black Pepper Crushed100G,Pantry Staples,Spices,2.3000000000000003,3.9900000000000015,1.6900000000000002,13.0,51.87000000000001,20.28
102,Black Pepper Whole100G,Pantry Staples,Spices,1.1,2.7181818179999997,1.618181818,18.0,48.927272724,29.127272724
104,Black Sesame Seeds 500G,Pantry Staples,Spices,4.0,5.29,1.2900000000000003,7.0,37.03,9.030000000000001
116,Breadfruit In Brine Serendib,Pantry Staples,Condiments,2.85,3.9900000000000007,1.14,5.0,19.950000000000003,5.699999999999999
117,Brinjal Moju Serendib 250G,Pantry Staples,Pickle,2.9500000000000015,3.989999999999999,1.0399999999999994,33.0,131.66999999999993,29.119999999999983
118,Brinjal Pickle 400G,Pantry Staples,Pickle,3.95,5.2,1.25,4.0,20.8,5.0
119,Brinjol Moju Deran,Pantry Staples,Pickle,4.0,5.990000000000001,1.99,8.0,47.92000000000001,15.92
120,Briyani Masala 200G,Pantry Staples,Spices,2.25,3.0,0.75,10.0,30.0,7.5
121,Broad Beans 500G,Pantry Staples,Pulses And Grains,1.7999999999999985,2.489999999999999,0.6900000000000004,46.0,114.53999999999995,31.05000000000002
127,Brown Rice1Kg,Pantry Staples,Rice,0.0,3.6272727270000003,3.6272727270000003,9.0,32.645454543,25.390909089
128,Bruschetta Ai Peperoni,Pantry Staples,Condiments,4.0,4.99,0.99,1.0,4.99,0.99
129,Bruschetta Al Pomodoro,Pantry Staples,Condiments,4.0,4.99,0.99,4.0,19.96,3.96
130,Bruschetta All Aglio,Pantry Staples,Condiments,4.0,4.99,0.99,2.0,9.98,1.98
131,Bruschetta Alle Verdure,Pantry Staples,Pickle,4.0,4.99,0.9899999999999999,3.0,14.97,2.9699999999999998
136,Buriyani Mix La,Pantry Staples,Spices,3.3500000000000005,4.990000000000001,1.6400000000000001,9.0,44.91000000000001,13.120000000000001
157,Captain Jack Mackerel 800G,Pantry Staples,Canned Fish,7.0,8.699999999999996,1.7000000000000008,33.0,287.09999999999985,54.40000000000003
158,Captain Jack Mackerl 400G,Pantry Staples,Canned Fish,3.5,4.49,0.9899999999999999,19.0,85.31,18.81
160,Cardamon Pods 100G,Pantry Staples,Grains And Pulses,3.8,4.99,1.19,1.0,4.99,1.19
161,Cardmon Pods 200G,Pantry Staples,Spices,7.200000000000002,9.5,2.3,16.0,152.0,36.8
165,Cashew Curry Seran,Pantry Staples,Sauce,4.95,5.95,1.0,6.0,35.7,6.0
166,Cashew Nuts 200G,Pantry Staples,Sauce,4.759999999999999,5.799999999999999,1.04,7.0,40.599999999999994,7.28
182,Chia Seeds 250G,Pantry Staples,Grains And Pulses,4.5,5.99,1.4899999999999998,15.0,89.84999999999998,20.859999999999996
183,Chick Pea Flour 1Kg Pattu,Pantry Staples,Flour,2.5,3.99,1.4900000000000004,40.0,159.6,58.11000000000002
187,Chicken Curry Mix La,Pantry Staples,Spices,3.100000000000001,3.9900000000000015,0.8900000000000001,11.0,43.890000000000015,9.790000000000001
188,Chicken Masala 200G,Pantry Staples,Spices,1.85,2.5,0.6500000000000001,11.0,27.5,7.150000000000001
189,Chicken Masala 50G,Pantry Staples,Spices,2.0,2.5,0.5,12.0,30.0,6.0
196,Chilli Checkpes 300G,Pantry Staples,Grains And Pulses,1.8000000000000003,3.990000000000001,2.1900000000000004,13.0,51.87000000000002,21.900000000000002
197,Chilli Crushed 250G Kandyan,Pantry Staples,Spices,2.0,3.9900000000000007,1.9899999999999998,20.0,79.8,37.809999999999995
201,Chilli Paste Veg,Pantry Staples,Spices,4.200000000000001,5.990000000000001,1.7899999999999996,10.0,59.90000000000001,17.899999999999995
202,Chilli Pieces Sera,Pantry Staples,Spices,1.6000000000000005,2.6000000000000005,1.0,26.0,67.60000000000001,26.0
