sub_category,revenue,profit,quantity
Baking,779.8000000000004,170.40000000000003,70.0
Canned Fish,1603.6200000000017,347.49,389.0
Canned Food,1707.4200000000023,539.549999999999,858.0
Coconut Products,2437.200000000002,654.2899999999994,602.0
Cocunut Products,5475.2399999999725,1323.4200000000067,442.0
Condiment,332.7600000000001,103.41000000000003,54.0
Condiments,18097.66272726993,6965.982727269958,3810.0
Dried Fish,1285.4200000000003,345.48,183.0
Dry,374.27,123.53999999999996,145.0
Flour,3694.04,1081.1200000000006,945.0
Grains And Pulses,10801.950000000006,4420.240000000002,3284.0
Grapes,83.94,12.0,6.0
Masala,17.91,8.91,9.0
Oil,10275.420000000004,2220.069999999998,1063.0
Papad,147.5,40.600000000000016,59.0
Pasta,6540.81000000001,1825.220000000003,4008.0
Pickle,977.1300000000003,256.2,221.0
Pulses And Grains,2567.230000000001,825.5400000000009,1033.0
Rice,19235.081818177994,4542.917272724001,1666.0
Sardines,1561.6600000000005,376.49,240.0
Sauce,2526.4900000000002,660.88,427.0
Sauces,3580.559090906,1050.4890909060002,668.0
Spices,13747.160909065,4844.394545430002,3447.0
Spides,319.3600000000003,76.15999999999993,64.0
Sugar,1642.8654544730005,429.06545448399913,431.0
Sweet,57.90909090199998,11.431818174999998,26.0
Vinegar,241.86,58.03,91.0
